 456: 7.296813, 399.601562 avg loss, 0.000000 rate, 11.587757 seconds, 233472 images, 35.689004 hours left
 464: 6.541302, 360.295532 avg loss, 0.000000 rate, 11.702034 seconds, 237568 images, 35.510567 hours left
 472: 5.291745, 324.795166 avg loss, 0.000000 rate, 11.793970 seconds, 241664 images, 35.335415 hours left
 480: 5.516791, 292.867340 avg loss, 0.000001 rate, 11.868588 seconds, 245760 images, 35.163165 hours left
 488: 5.227314, 264.103333 avg loss, 0.000001 rate, 19.385380 seconds, 249856 images, 34.993521 hours left
 496: 4.664623, 238.159454 avg loss, 0.000001 rate, 18.837400 seconds, 253952 images, 34.940399 hours left
 504: 4.746005, 214.818115 avg loss, 0.000001 rate, 19.189508 seconds, 258048 images, 34.878999 hours left
 512: 4.774093, 193.813705 avg loss, 0.000001 rate, 18.991161 seconds, 262144 images, 34.823171 hours left
 520: 4.453338, 174.877670 avg loss, 0.000001 rate, 18.920801 seconds, 266240 images, 34.764452 hours left
 528: 4.118163, 157.801712 avg loss, 0.000001 rate, 19.216495 seconds, 270336 images, 34.704826 hours left
 536: 3.964058, 142.417953 avg loss, 0.000001 rate, 18.827200 seconds, 274432 images, 34.649870 hours left
 544: 4.200216, 128.596176 avg loss, 0.000001 rate, 18.863559 seconds, 278528 images, 34.589128 hours left
 552: 3.858209, 116.122383 avg loss, 0.000001 rate, 18.678957 seconds, 282624 images, 34.529126 hours left
 560: 4.315679, 104.941711 avg loss, 0.000001 rate, 19.283435 seconds, 286720 images, 34.466512 hours left
 568: 4.294097, 94.876953 avg loss, 0.000001 rate, 10.803814 seconds, 290816 images, 34.413243 hours left
 576: 4.570941, 85.846352 avg loss, 0.000001 rate, 10.633243 seconds, 294912 images, 34.232129 hours left
 584: 4.298333, 77.691551 avg loss, 0.000001 rate, 10.780457 seconds, 299008 images, 34.050017 hours left
 592: 4.131866, 70.335579 avg loss, 0.000001 rate, 10.607771 seconds, 303104 images, 33.871705 hours left
 600: 3.850002, 63.687019 avg loss, 0.000001 rate, 10.578589 seconds, 307200 images, 33.692342 hours left
 608: 4.160942, 57.734413 avg loss, 0.000001 rate, 10.548341 seconds, 311296 images, 33.514100 hours left
 616: 4.051525, 52.366123 avg loss, 0.000001 rate, 10.661121 seconds, 315392 images, 33.336951 hours left
 624: 4.122309, 47.541740 avg loss, 0.000001 rate, 10.687119 seconds, 319488 images, 33.163036 hours left
 632: 4.362748, 43.223843 avg loss, 0.000001 rate, 10.633395 seconds, 323584 images, 32.991002 hours left
 640: 4.152284, 39.316689 avg loss, 0.000002 rate, 10.628675 seconds, 327680 images, 32.819649 hours left
 648: 4.296961, 35.814716 avg loss, 0.000002 rate, 18.007819 seconds, 331776 images, 32.649704 hours left
 656: 4.036447, 32.636890 avg loss, 0.000002 rate, 17.780037 seconds, 335872 images, 32.590924 hours left
 664: 4.095649, 29.782766 avg loss, 0.000002 rate, 17.781489 seconds, 339968 images, 32.528951 hours left
 672: 4.445392, 27.249029 avg loss, 0.000002 rate, 18.263188 seconds, 344064 images, 32.467224 hours left
 680: 4.103968, 24.934523 avg loss, 0.000002 rate, 17.727425 seconds, 348160 images, 32.412849 hours left
 688: 4.287132, 22.869783 avg loss, 0.000002 rate, 18.137842 seconds, 352256 images, 32.350694 hours left
 696: 3.995153, 20.982321 avg loss, 0.000002 rate, 18.088830 seconds, 356352 images, 32.294823 hours left
 704: 3.809110, 19.264999 avg loss, 0.000002 rate, 17.506781 seconds, 360448 images, 32.238385 hours left
 712: 4.081278, 17.746628 avg loss, 0.000002 rate, 18.115067 seconds, 364544 images, 32.173547 hours left
 720: 4.004438, 16.372408 avg loss, 0.000002 rate, 17.904919 seconds, 368640 images, 32.117904 hours left
 728: 3.974492, 15.132616 avg loss, 0.000003 rate, 21.966720 seconds, 372736 images, 32.059332 hours left
 736: 4.387407, 14.058095 avg loss, 0.000003 rate, 22.344600 seconds, 376832 images, 32.060430 hours left
 744: 4.245914, 13.076877 avg loss, 0.000003 rate, 22.813799 seconds, 380928 images, 32.066555 hours left
 752: 4.058199, 12.175009 avg loss, 0.000003 rate, 22.446716 seconds, 385024 images, 32.078973 hours left
 760: 4.081035, 11.365611 avg loss, 0.000003 rate, 21.946837 seconds, 389120 images, 32.085408 hours left
 768: 3.774578, 10.606507 avg loss, 0.000003 rate, 22.542314 seconds, 393216 images, 32.084004 hours left
 776: 4.080026, 9.953859 avg loss, 0.000003 rate, 22.297209 seconds, 397312 images, 32.090780 hours left
 784: 4.087255, 9.367199 avg loss, 0.000003 rate, 22.244289 seconds, 401408 images, 32.093431 hours left
 792: 3.965217, 8.827001 avg loss, 0.000004 rate, 22.093768 seconds, 405504 images, 32.094794 hours left
 800: 3.898926, 8.334193 avg loss, 0.000004 rate, 22.154338 seconds, 409600 images, 32.093471 hours left
 808: 4.300163, 7.930790 avg loss, 0.000004 rate, 10.399916 seconds, 413696 images, 32.092545 hours left
 816: 4.208953, 7.558606 avg loss, 0.000004 rate, 10.182652 seconds, 417792 images, 31.921610 hours left
 824: 4.190168, 7.221762 avg loss, 0.000004 rate, 10.044183 seconds, 421888 images, 31.749026 hours left
 832: 4.406968, 6.940283 avg loss, 0.000004 rate, 10.094272 seconds, 425984 images, 31.575950 hours left
 840: 4.305774, 6.676832 avg loss, 0.000004 rate, 10.058664 seconds, 430080 images, 31.405102 hours left
 848: 4.304057, 6.439554 avg loss, 0.000005 rate, 10.327170 seconds, 434176 images, 31.235253 hours left
 856: 4.286541, 6.224253 avg loss, 0.000005 rate, 10.047607 seconds, 438272 images, 31.070696 hours left
 864: 4.388100, 6.040637 avg loss, 0.000005 rate, 10.258939 seconds, 442368 images, 30.903560 hours left
 872: 4.376686, 5.874242 avg loss, 0.000005 rate, 10.215329 seconds, 446464 images, 30.740887 hours left
 880: 4.321952, 5.719013 avg loss, 0.000005 rate, 10.156453 seconds, 450560 images, 30.578992 hours left
 888: 4.037786, 5.550890 avg loss, 0.000006 rate, 19.479293 seconds, 454656 images, 30.417651 hours left
 896: 4.023092, 5.398110 avg loss, 0.000006 rate, 19.584805 seconds, 458752 images, 30.390082 hours left
 904: 4.055957, 5.263895 avg loss, 0.000006 rate, 19.708805 seconds, 462848 images, 30.363852 hours left
 912: 4.353260, 5.172832 avg loss, 0.000006 rate, 19.749484 seconds, 466944 images, 30.339204 hours left
 920: 3.968593, 5.052408 avg loss, 0.000006 rate, 19.729851 seconds, 471040 images, 30.314940 hours left
 928: 3.621305, 4.909297 avg loss, 0.000007 rate, 19.184759 seconds, 475136 images, 30.290203 hours left
 936: 3.927135, 4.811081 avg loss, 0.000007 rate, 19.449233 seconds, 479232 images, 30.257594 hours left
 944: 3.756428, 4.705616 avg loss, 0.000007 rate, 19.486101 seconds, 483328 images, 30.228606 hours left
 952: 4.153557, 4.650410 avg loss, 0.000007 rate, 20.123633 seconds, 487424 images, 30.199993 hours left
